Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
TCL,Crops and livestock products,19.03,Americas (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1986,1986,t,124315,E,Estimated value,
TCL,Crops and livestock products,19.03,Americas (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1987,1987,t,135997,E,Estimated value,
TCL,Crops and livestock products,19.03,Americas (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1988,1988,t,141546,E,Estimated value,
TCL,Crops and livestock products,19.03,Americas (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1989,1989,t,168129,E,Estimated value,
TCL,Crops and livestock products,19.03,Americas (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1990,1990,t,212849,E,Estimated value,
TCL,Crops and livestock products,19.03,Americas (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1991,1991,t,304561,E,Estimated value,
TCL,Crops and livestock products,19.03,Americas (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1992,1992,t,282315,E,Estimated value,
TCL,Crops and livestock products,19.03,Americas (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1993,1993,t,295651,E,Estimated value,
TCL,Crops and livestock products,19.03,Americas (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1994,1994,t,219781,E,Estimated value,
TCL,Crops and livestock products,19.03,Americas (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1995,1995,t,197873,E,Estimated value,
TCL,Crops and livestock products,19.03,Americas (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1996,1996,t,353876,E,Estimated value,
TCL,Crops and livestock products,19.03,Americas (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1997,1997,t,316066,E,Estimated value,
TCL,Crops and livestock products,19.03,Americas (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1998,1998,t,416411,E,Estimated value,
TCL,Crops and livestock products,19.03,Americas (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,1999,1999,t,525659,E,Estimated value,
TCL,Crops and livestock products,19.03,Americas (excluding intra-trade),5610,Import quantity,1640,Cocoa beans,2000,2000,t,563845,E,Estimated value,
