Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1961,1961,t,415200,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1962,1962,t,428100,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1963,1963,t,427800,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1964,1964,t,580500,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1965,1965,t,415800,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1966,1966,t,381100,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1967,1967,t,423500,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1968,1968,t,327000,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1969,1969,t,414300,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1970,1970,t,406000,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1971,1971,t,470000,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1972,1972,t,415700,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1973,1973,t,343000,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1974,1974,t,385100,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1975,1975,t,397300,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1976,1976,t,326700,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1977,1977,t,277400,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1978,1978,t,268200,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1979,1979,t,280800,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1980,1980,t,277200,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1981,1981,t,246500,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1982,1982,t,202500,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1983,1983,t,168100,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1984,1984,t,166700,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1985,1985,t,194400,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1986,1986,t,226400,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1987,1987,t,188170,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1988,1988,t,246700,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1989,1989,t,295052,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1990,1990,t,293355,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1991,1991,t,241796,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1992,1992,t,312122,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1993,1993,t,254652,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1994,1994,t,288075,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1995,1995,t,403900,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1996,1996,t,403000,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1997,1997,t,322490,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1998,1998,t,409360,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,1999,1999,t,434200,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,2000,2000,t,436600,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,2001,2001,t,389591,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,2002,2002,t,340562,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,2003,2003,t,497000,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,2004,2004,t,737000,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,2005,2005,t,740000,A,Official figure,
QCL,Crops and livestock products,288,Ghana,5510,Production,1640,Cocoa beans,2006,2006,t,734000,A,Official figure,
