YearMonth,SDR_End_Period,SDR_Period_Average, Dom_USD_End_Period,Dom_USD_Period_Average
1990M01,0.04,0.04,0.03,0.03
1990M02,0.04,0.04,0.03,0.03
1990M03,0.04,0.04,0.03,0.03
1990M04,0.04,0.04,0.03,0.03
1990M05,0.04,0.04,0.03,0.03
1990M06,0.04,0.04,0.03,0.03
1990M07,0.05,0.04,0.03,0.03
1990M08,0.05,0.05,0.03,0.03
1990M09,0.05,0.05,0.03,0.03
1990M10,0.05,0.05,0.03,0.03
1990M11,0.05,0.05,0.03,0.03
1990M12,0.05,0.05,0.03,0.03
1991M01,0.05,0.05,0.03,0.03
1991M02,0.05,0.05,0.04,0.03
1991M03,0.05,0.05,0.04,0.04
1991M04,0.05,0.05,0.04,0.04
1991M05,0.05,0.05,0.04,0.04
1991M06,0.05,0.05,0.04,0.04
1991M07,0.05,0.05,0.04,0.04
1991M08,0.05,0.05,0.04,0.04
1991M09,0.05,0.05,0.04,0.04
1991M10,0.05,0.05,0.04,0.04
1991M11,0.05,0.05,0.04,0.04
1991M12,0.06,0.05,0.04,0.04
1992M01,0.05,0.05,0.04,0.04
1992M02,0.05,0.05,0.04,0.04
1992M03,0.06,0.05,0.04,0.04
1992M04,0.06,0.06,0.04,0.04
1992M05,0.06,0.06,0.04,0.04
1992M06,0.06,0.06,0.04,0.04
1992M07,0.06,0.06,0.04,0.04
1992M08,0.07,0.06,0.05,0.04
1992M09,0.07,0.07,0.05,0.05
1992M10,0.07,0.07,0.05,0.05
1992M11,0.07,0.07,0.05,0.05
1992M12,0.07,0.07,0.05,0.05
1993M01,0.08,0.07,0.06,0.05
1993M02,0.08,0.08,0.06,0.06
1993M03,0.08,0.08,0.06,0.06
1993M04,0.09,0.08,0.06,0.06
1993M05,0.09,0.09,0.06,0.06
1993M06,0.08,0.08,0.06,0.06
1993M07,0.09,0.09,0.07,0.07
1993M08,0.1,0.09,0.07,0.07
1993M09,0.1,0.1,0.07,0.07
1993M10,0.1,0.1,0.07,0.07
1993M11,0.11,0.1,0.08,0.07
1993M12,0.11,0.11,0.08,0.08
1994M01,0.13,0.12,0.09,0.08
1994M02,0.13,0.13,0.09,0.09
1994M03,0.13,0.13,0.09,0.09
1994M04,0.13,0.13,0.09,0.09
1994M05,0.13,0.13,0.09,0.09
1994M06,0.14,0.13,0.09,0.09
1994M07,0.14,0.14,0.1,0.1
1994M08,0.14,0.14,0.1,0.1
1994M09,0.14,0.14,0.1,0.1
1994M10,0.15,0.15,0.1,0.1
1994M11,0.15,0.15,0.1,0.1
1994M12,0.15,0.15,0.11,0.1
1995M01,0.16,0.15,0.11,0.11
1995M02,0.16,0.16,0.11,0.11
1995M03,0.17,0.17,0.11,0.11
1995M04,0.18,0.18,0.11,0.11
1995M05,0.18,0.18,0.11,0.11
1995M06,0.18,0.18,0.12,0.12
1995M07,0.19,0.18,0.12,0.12
1995M08,0.18,0.18,0.12,0.12
1995M09,0.2,0.18,0.13,0.12
1995M10,0.2,0.2,0.14,0.13
1995M11,0.21,0.21,0.14,0.14
1995M12,0.22,0.21,0.14,0.14
1996M01,0.22,0.22,0.15,0.15
1996M02,0.23,0.22,0.15,0.15
1996M03,0.23,0.23,0.16,0.16
